DyadId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
498,1-94,Indonesia,Government of Indonesia,,OPM,1108,,1,West Papua,1978,2,3,1965-07-28,1,1976-12-31,5,850,,,,850,3,1.0-2016
498,1-94,Indonesia,Government of Indonesia,,OPM,1108,,1,West Papua,1981,2,3,1965-07-28,1,1981-12-31,5,850,,,,850,3,1.0-2016
498,1-94,Indonesia,Government of Indonesia,,OPM,1108,,1,West Papua,1984,1,3,1965-07-28,1,1984-12-31,5,850,,,,850,3,1.0-2016
499,1-95,Peru,Government of Peru,,MIR,1610,,2,,1965,1,3,1965-06-15,2,1965-08-03,2,135,,,,135,5,1.0-2016
500,1-95,Peru,Government of Peru,,ELN,1609,,2,,1965,1,3,1963-05-15,1,1965-12-17,2,135,,,,135,5,1.0-2016
502,1-98,Ghana,Government of Ghana,,NLC,1303,,2,,1966,1,3,1966-02-24,1,1966-02-24,1,452,,,,452,4,1.0-2016
503,1-98,Ghana,Government of Ghana,,Military faction (forces of Jerry John Rawlings),1304,,2,,1981,1,3,1981-12-31,1,1981-12-31,1,452,,,,452,4,1.0-2016
504,1-98,Ghana,Government of Ghana,,Military faction (forces of Ekow Dennis and Edward Adjei-Ampofo) ,1305,,2,,1983,1,3,1983-06-19,1,1983-06-19,1,452,,,,452,4,1.0-2016
505,1-99,India,Government of India,,MNF,1109,,1,Mizoram,1966,1,3,1966-09-01,2,1966-09-01,2,750,,,,750,3,1.0-2016
505,1-99,India,Government of India,,MNF,1109,,1,Mizoram,1967,1,3,1966-09-01,2,1966-09-01,2,750,,,,750,3,1.0-2016
505,1-99,India,Government of India,,MNF,1109,,1,Mizoram,1968,1,3,1966-09-01,2,1966-09-01,2,750,,,,750,3,1.0-2016
507,1-112,Philippines,Government of Philippines,,MIM,1116,,1,Mindanao,1970,1,3,1970-08-20,1,1970-08-20,1,840,,,,840,3,1.0-2016
507,1-112,Philippines,Government of Philippines,,MIM,1116,,1,Mindanao,1971,1,3,1970-08-20,1,1970-08-20,1,840,,,,840,3,1.0-2016
508,1-120,El Salvador,Government of El Salvador,,FPL,1615,,2,,1979,1,3,1977-05-11,1,1979-09-14,1,92,,,,92,5,1.0-2016
510,1-120,El Salvador,Government of El Salvador,,ERP,1614,,2,,1979,1,3,1973-03-02,1,1979-12-31,5,92,,,,92,5,1.0-2016
514,1-120,El Salvador,Government of El Salvador,,Military faction (forces of Benjamin Mejia),1613,,2,,1972,1,3,1972-03-25,1,1972-03-25,1,92,,,,92,5,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1979,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1980,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1981,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1982,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1983,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1984,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1985,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1986,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
515,1-139,India,Government of India,,TNV,1148,,1,Tripura,1987,1,3,1979-07-09,1,1979-12-31,5,750,,,,750,3,1.0-2016
